오브젝트이름,천체이름,천체종류,내부구조목록,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10
SunModel,태양,항색 왜성,내부구조:대류층:복사층:핵,광구는 태양 가장 바깥의 얇은 층입니다. 광구 아래로는 가시광에 대해 불투명해집니다. 이는 지구 상의 공기보다 약간 더 불투명합니다.,열기둥이 뜨거운 물질을 태양의 표면으로 운반합니다. 물질이 식으면 다시 복사층으로 내려갑니다.,복사층은 열복사를 통해 핵의 열을 바깥으로 전달합니다. 내부물질은 위층으로 올라갈수록 냉각되고 밀도는 복사층 하단에서 최상층으로 올라가면서 백분의 일로 떨어집니다.,태양반지름의 24% 지점까지 태양이 내는 에너지의 99%가 생산됩니다.,,,,,,
MercuryModel,수성,행성,내부구조:핵,표면의 어두운 평원(바다)이나 크레이터들을 봤을 때 수성은 달과 비슷한 모습을 하고 있습니다. 표면의 모습에서 주목할 만한 점은 수많은 좁은 협곡들인데 지각이 식은 후 핵과 맨틀이 수축하면서 행성이 되었을 것입니다.,높은 밀도로 미루어 볼 때 수성은 철성분이 풍부한 핵을 가지고 있습니다. 핵의 구성성분 중 철의 비율이 태양계의 어느 행성보다도 큽니다.,,,,,,,,
