오브젝트이름,천체이름,천체종류,정보목록,정보보기상세목록,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,info1,info2,info3,info4,info5,info6,info7,info8,info9,info10
SunModel,태양,항색 왜성,정보보기:구성:거리:우리은하에서의 태양,적도지름:질량:은하 중심까지의 거리:자전주기:은하 공전주기:표면 중력:표면 온도,정보보기 내용,구성 내용,거리 내용,우리은하에서의 태양 내용,,,,,,,1.39 M KM,1.99 x 10^30 KG,26'038 LY,25일,225 M년,274 M/S2,5'778K(5'505℃),,,
MercuryModel,수성,행성,정보보기:관측,적도지름:질량:은하 중심까지의 거리:자전주기:은하 공전주기:표면 중력:표면 온도:온도 - 낮:온도 - 밤,정보보기 내용,관측정보,,,,,,,,,4'879 KM,3.3 X 10^23 KG,60.2 M KM,59일,88일,3.7 M/S2,167℃,473℃,-183℃,
